Wavelenght(Ang)	3He(20atm)5mm0.00251g/cm3 3He(8atm)12.3mm0.000989g/cm3 Li6F:ZnS(Ag)450um(1:2)(0.44g/cm3) Li6F:ZnS(Ag)450um(1:3)(0.36g/cm3) Li6F:ZnS(Ag)250um(1:2)(0.44g/cm3)
0.001	0.11	0.11	0.07	0.06	0.04
0.01	0.78	0.76	0.3	2.24	0.17
0.05	3.69	3.58	1.29	1.05	0.72
0.1	7.2	6.99	2.51	2.06	1.4
0.25	16.99	16.51	6.09	5.01	3.43
0.5	31.07	30.27	11.76	9.73	6.71
1	52.46	51.36	22.1	18.48	12.95
1.2	59.03	57.89	25.89	21.74	15.33
1.4	64.69	63.54	29.49	24.86	17.64
1.5	67.22	66.08	31.22	26.38	18.78
1.8	73.77	72.67	36.18	30.75	22.08
2	77.39	76.34	39.28	33.52	24.21
2.2	80.52	79.51	42.23	36.17	26.28
2.5	84.41	83.49	46.4	39.96	29.28
3	89.25	88.49	52.68	45.78	34.01
3.5	92.59	91.97	58.22	51.04	38.42
4.2	95.59	95.15	64.91	57.55	44.11
5.0	NaN	NaN	71.25	63.64	NaN
